,event_id,stations,ref_time,ref_duration,group
0,20190129T000127Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI4A.', '1J.TI1A.']",2019-01-29T00:01:27.014000Z,30.595758,31
1,20190129T003140Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI4A.', '1J.TI1A.']",2019-01-29T00:31:40.622000Z,30.595758,31
2,20190129T004538Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI4A.', '1J.TI1A.']",2019-01-29T00:45:38.616000Z,30.595758,31
3,20190129T010400Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI4A.', '1J.TI1A.']",2019-01-29T01:04:00.430000Z,30.595758,31
4,20190129T013932Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI4A.', '1J.TI1A.']",2019-01-29T01:39:32.108000Z,30.595758,31
5,20190129T015739Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI4A.', '1J.TI1A.']",2019-01-29T01:57:39.332000Z,30.595758,31
6,20190129T022005Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI4A.', '1J.TI1A.']",2019-01-29T02:20:05.462000Z,30.595758,31
7,20190129T024331Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI4A.', '1J.TI1A.']",2019-01-29T02:43:31.672000Z,30.595758,31
8,20190129T030522Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI4A.', '1J.TI1A.']",2019-01-29T03:05:22.566000Z,30.595758,31
9,20190129T032957Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI4A.', '1J.TI1A.']",2019-01-29T03:29:57.640000Z,30.595758,31
10,20190129T035450Z,"['1J.TI6A.', '1J.TI8A.', '1J.TI3A.', '1J.TI4A.', '1J.TI1A.']",2019-01-29T03:54:50.694000Z,30.595758,31
