,event_id,station,components,time,duration
0,20190112T035801Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T03:58:01.272000Z,0.166
1,20190112T041542Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T04:15:42.950000Z,0.224
2,20190112T043846Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T04:38:46.106000Z,0.43
3,20190112T051622Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T05:16:22.052000Z,0.23
4,20190112T055805Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T05:58:05.826000Z,0.9
5,20190112T060442Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T06:04:42.686000Z,0.172
6,20190112T062415Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T06:24:15.142000Z,0.81
7,20190112T062902Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T06:29:02.938000Z,0.114
8,20190112T063647Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T06:36:47.332000Z,0.494
9,20190112T064833Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T06:48:33.184000Z,0.112
10,20190112T072650Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T07:26:50.786000Z,0.202
11,20190112T074530Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T07:45:30.222000Z,0.854
12,20190112T075818Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T07:58:18.872000Z,0.464
13,20190112T081644Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T08:16:44.126000Z,1.29
14,20190112T085752Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T08:57:52.950000Z,0.136
15,20190112T090259Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T09:02:59.282000Z,0.436
16,20190112T090751Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T09:07:51.240000Z,0.892
17,20190112T094313Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T09:43:13.308000Z,0.306
18,20190112T173112Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T17:31:12.240000Z,1.226
19,20190112T174015Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T17:40:15.362000Z,28.374
20,20190112T204701Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T20:47:01.000000Z,1.452
21,20190112T212013Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T21:20:13.212000Z,0.172
22,20190112T225952Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T22:59:52.424000Z,1.824
23,20190112T230005Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T23:00:05.340000Z,2.868
24,20190112T230805Z,1J.TI4A.,"['CH1', 'CH2', 'CHZ']",2019-01-12T23:08:05.146000Z,1.744
